post_id,sentence,true_label,logits
1179055004553900032_twitter,i dont think im getting my baby them white <number> he has two white j and nikes not even touched,normal,[-1.2009624   0.23174958  0.071934  ]
13851720_gab,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,hatespeech,[ 0.11941074 -0.28733277 -0.58181995]
1178818409812746240_twitter,<user> what did the old lady do was she a nazi or white supremacist,normal,[-1.2049742   0.3129623   0.24435738]
19346774_gab,as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,normal,[ 0.8770149  -0.700279   -0.31436476]
1165819983701643266_twitter,sex be so good a bitch be slow stroking and crying,offensive,[-1.4867738  -0.07838996  0.73584014]
1178376939117121537_twitter,<user> <user> <user> with a room full of white folks,normal,[-2.1144726   1.2753695  -0.17079897]
1162817415685857280_twitter,i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn <number> ss diski wafa wafa,normal,[-0.57538295 -0.08118029  0.37342367]
16637220_gab,they are going to figure out a way to kike bitcoin,hatespeech,[ 1.8811462  -1.70657    -0.52590644]
1178082052513468417_twitter,<user> <user> a camel jockey midde east watering station,normal,[-1.7390767   0.7594585   0.05994434]
1116946053478125571_twitter,then hoes stole my choreo and still managed to make it look bad and lose with it lmfao,offensive,[-0.9794985   0.25084347  0.01666122]
18721090_gab,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,hatespeech,[-0.5725912   0.05820378  0.13589945]
1178816603619758080_twitter,i raped a sheep because it sneezed at a pig,normal,[-0.8339431   0.08230607  0.11758943]
1179096960537632768_twitter,listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,normal,[-0.66771007  0.02933396  0.23826134]
1178501413346906113_twitter,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0,offensive,[-1.1294606e+00  4.0250939e-01  1.9902363e-04]
22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,hatespeech,[ 0.93397343 -1.0055557  -0.06321751]
1125244030948921344_twitter,cheating is not the wave grow up you dumbass nigga,normal,[-0.3898413  -0.24351276  0.265245  ]
1178765634265636864_twitter,do u have to be retarded to be a lino,normal,[-0.4114224  -0.79074234  0.853234  ]
1179043438131417088_twitter,<user> <user> why will muslim take refugee in india when bangladesh and pakistan r islamic states isnt india supposed to be unsafe for muslims they should leave for their country asap for their safety,normal,[-1.442429    1.2996794  -0.28658348]
1179080956004769795_twitter,<user> <user> <user> <user> <user> <user> yeah just the backwoods redneck portion of society in oklahoma that does not even know other sports exist,normal,[-2.495794   1.676401  -0.2930931]
19227442_gab,i d rather get fisted by a nigger tbh,offensive,[ 1.3899175 -1.1388935 -0.4245497]
13162665_gab,i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say <user> boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,offensive,[-0.77892244  0.0850789   0.2015503 ]
24227903_gab,what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,offensive,[ 1.8752989  -1.6775354  -0.51407915]
1178618820229025793_twitter,<user> <user> <user> yes men commit male violence i actually wouldnt envy a lesbian being confonted with a penis for a number of reasons the fear of being raped or being beaten for turning down the trans woman being just one,normal,[-2.1210814   1.6070076  -0.37709746]
12290514_gab,france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega,offensive,[-0.11747935 -0.06012334  0.1355813 ]
22513839_gab,dad should have told the muzrat whore to fuck off and went in anyway,hatespeech,[-0.19630435 -0.03670727  0.15144588]
4701852_gab,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,hatespeech,[ 0.9756113  -0.94174504 -0.16072695]
15239458_gab,whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,hatespeech,[-0.5208738   0.24142002 -0.08134113]
1178904771538890752_twitter,<user> <user> welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling,normal,[-1.7162521   1.3096611  -0.25463036]
26046364_gab,meet the british nigger bitch princess criminal trash family 🤣,hatespeech,[ 1.4015559  -1.2011191  -0.34309995]
24096893_gab,lets hope so gas the lot including the nigger,hatespeech,[ 0.8392893  -0.6417267  -0.39224046]
1178949635647229952_twitter,<user> <user> <user> lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan,normal,[-2.0867019   1.2573894  -0.13754624]
1105655062599208960_twitter,suck out you faggot,offensive,[ 0.32292724 -0.91788137  0.4343184 ]
1178322843022450688_twitter,<user> bring out the uneducated hillbillies and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate muslim duh i can not read,normal,[-1.4106798   0.886825   -0.15789028]
21969771_gab,he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,hatespeech,[ 1.7656002 -1.5853412 -0.4838143]
1160816648783159296_twitter,color blue and white porcelain,normal,[-0.9426249   0.289869   -0.01818145]
1179094087212978177_twitter,<user> <user> <user> only a person with considerable privilege could reasonably write in a candidate out of pettiness when the alternative is trump trust and believe that my queer ass does not have that luxury women poc immigrants etc do not have that luxury grow up,normal,[-1.7673483   1.4857743  -0.32966202]
1179086920573341696_twitter,amber guyer ass better get the maximum sentence but ik her white ass bout to skate i can feel it in my spirit 😒,normal,[-1.0435112   0.30413598  0.01718954]
1179041169382264832_twitter,<user> <user> <user> millions of yemeni children starve because of trump policies republicans i sleep a woman gets raped and does not want to carry his baby republicans real shit,normal,[-1.8471377  1.5424128 -0.3375039]
1178708115035955201_twitter,smh fuckin wit them white girls gon get u in jail bruh,normal,[-0.9471985   0.20110087  0.1245507 ]
6152693_gab,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion,normal,[-0.22213358  0.06100859 -0.01183448]
16705606_gab,in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to stick our fingers in dykes while wearing wooden shoes does that to you,normal,[-0.38326034  0.1878112   0.01386628]
1179025510350897152_twitter,<user> oh yeah that too before twitter and before <number> months ago i only knew one lesbian couple that it all my friends were cishet white suburban guys,normal,[-1.529479    0.72797704 -0.01818087]
1178757718791905280_twitter,<user> same with arabs loll im arab but white af,normal,[-1.0543702   0.4492584   0.02208139]
19112164_gab,fuck her she nothing but a kike that will play which ever side that will get her paid,hatespeech,[ 1.7587672  -1.6586878  -0.44456363]
1177974580964708353_twitter,crash on eb i <number> location eb i <number> at van dyke lanes blocked left shoulder left lane event type crash county macomb,normal,[-0.31294698 -0.08307731  0.15411565]
1179088988445007875_twitter,<user> <user> racist scum who is also a threat to innocent citizens are embraced by deblasio horrible my prayers to this woman white black green yellow people should not go unchecked with this random violence hate,normal,[-1.7271423   1.1964003  -0.20608102]
13912847_gab,i am a nigger rabbi who sells bacon,hatespeech,[ 1.2970033  -1.0707752  -0.40261906]
1179096587571646464_twitter,tomorrow precap lit sidharth shukla wow yaar i think he will kill all the task in season bb13 bigg boss <number>,normal,[-0.51208556  0.23790345 -0.04311067]
1179039577777983488_twitter,in recent years we have frequently seen poor people suffer immensely in avoidable tragedies from the grenfell tower block fire in london to the burning of makeshift refugee camps across europe,normal,[-0.05474745 -0.03499951  0.00901142]
23169645_gab,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,hatespeech,[ 0.3736651  -0.86922693  0.4238933 ]
10053426_gab,ventura only governor to refund overpaid taxes back to those who paid them burqa betsy just fired gay police chief who demanded open investigation against mudslime cop that murdered white christian woman appointed mudslime as new chief burqa betsy will lose gay vote and mayor position,offensive,[-0.48650318  0.12949091  0.05026449]
12585712_gab,the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,offensive,[ 1.0969275  -0.86137414 -0.34604436]
24728249_gab,kim kardashian is a negress by now anyway,hatespeech,[ 0.46628097 -0.49073535 -0.01224183]
1178275818012860417_twitter,<user> <user> <user> evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,normal,[-1.5486065  1.3552574 -0.2633841]
23637308_gab,monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn,hatespeech,[ 2.1161346  -1.9476131  -0.53217876]
9053284_gab,they average more in cali with the feeding program but the skunks and coons eat well too,hatespeech,[-0.3855714  -0.18986572  0.41125134]
1142977246283599872_twitter,blue jeans white t shirt,normal,[-1.3241978   0.28752136  0.10143001]
17315138_gab,get the honky cat,offensive,[-0.31496292 -0.06632218  0.19548146]
10733286_gab,god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion,hatespeech,[ 1.7273716 -1.6173632 -0.4016608]
19792641_gab,ovomits a nigger and a half nigger,hatespeech,[ 1.321596  -1.0393435 -0.4644171]
1171918006806618118_twitter,he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment 😭 😭,normal,[-0.9320415   0.07868665  0.21565323]
1123295873218293760_twitter,niggas really be tryna keep yu around just to be on some bullshit raggedy bitches,offensive,[-1.3149273   0.37834865  0.01719918]
1188868820854808581_twitter,lool it bare gyal clown i see that get no gyal 😂 they just sad cus they get no bitches but do the most to get em 😭 try harder,offensive,[-0.95699465  0.18652432  0.09640118]
26349453_gab,as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,hatespeech,[-0.05594229  0.05270619 -0.00925413]
1179030288065859585_twitter,so that is why mom brother who works in google a pakistani born married a local american women divorced her got married to a rich paki doctor wow ye concept hy phir they shifted to us great,normal,[-0.23015842 -0.01098195  0.13396475]
23069299_gab,dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit,hatespeech,[ 0.6607255  -0.7550267  -0.47032434]
1178605473743982594_twitter,me 🤝 looking like a dyke every day,normal,[-0.942955    0.55880636 -0.22721086]
1179025513970577408_twitter,first mental breakdown of the year i fucking hate school,normal,[-0.47821972  0.0568317   0.12507777]
1178120616467161089_twitter,grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted,hatespeech,[ 0.6564033  -0.9849057   0.03912554]
1178839028776484864_twitter,<user> ah man i fucking hate you so much,normal,[-1.6555588   0.7792847  -0.08947346]
1178251992801533952_twitter,mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t v and twitter gives me <number> hrs in das hole damn snowflakes,hatespeech,[-0.91069007  0.28318512 -0.0371919 ]
21653890_gab,<user> you are an entire nigger,hatespeech,[ 0.9547926  -0.72735304 -0.3663141 ]
1179081620541841408_twitter,<user> the white delegation has waived that white devil woman,offensive,[-1.5503848   0.6648474  -0.02679026]
1632755_gab,i wonder how long until they can get the nigger stink out of the white house,hatespeech,[ 1.3416322  -1.0688972  -0.42208928]
1179078038673395712_twitter,<user> <user> your sweeping vision is to rob the taxpayers to support illegals release criminal illegals into our communities to rape and murder our children and to bankrupt the residents and small businesses with more taxes rather than lowering taxes <user> <user>,normal,[-1.3767042   1.2519616  -0.27072695]
1179073412578381827_twitter,<user> they all look like me,normal,[-1.3919427   0.66946346 -0.11963217]
13146695_gab,you are in the grip of meme malware that is what i fight also muzzie invader scum,hatespeech,[ 0.9561267  -0.9454411  -0.21532531]
1179039117390340097_twitter,me confuses theodore and we might watch game of his muslim ban got blocked by a nice meal,normal,[-1.0228814   0.49420607 -0.2407671 ]
8394773_gab,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,hatespeech,[-0.5884925   0.31066883 -0.02450958]
1178525090847379458_twitter,family has always been important to me and i will hunt down people who hurt them you are freakin retard she may be my niece but she your freakin daughter some mother you are leaving her for some other kids that are not your own,normal,[-0.13007489 -0.37398762  0.6152915 ]
23377953_gab,match <number> a nigger wins a championship match <number> a nigger wins the battle royal now <number> niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania 😡,hatespeech,[ 1.4947642 -1.2603427 -0.4247224]
15972271_gab,we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,hatespeech,[ 0.85549676 -0.9191028  -0.03209765]
17247779_gab,niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent <money> on a new computer for my mom kindly fuck off pls kthx <number>,offensive,[ 1.1375875 -0.8966622 -0.3876142]
1184679550007029760_twitter,egay o jungkook,normal,[-1.0724354   0.32064202  0.02910099]
1179095515226607616_twitter,<user> <user> nope it your imagination the tory party is full of white home county oaps,normal,[-1.7867806   0.9483347  -0.07519586]
7020770_gab,zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get <number> days fucking psycho,hatespeech,[-0.97205174  0.35381597 -0.10974796]
16070530_gab,<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,hatespeech,[ 1.16762    -0.9394523  -0.38487828]
20509359_gab,in time my friend in time they do already support the acid in my moslem wife face libtards hollywood sucks,offensive,[-0.7269285   0.25366557 -0.00684603]
1179030757555261440_twitter,<user> <user> <user> <user> <user> <user> that funny i can not for the life of me remember even one circumstance where any democrat sided with putin kim jon un nazis white supremacist or the kk,normal,[-2.5464933  2.1423857 -0.5374199]
1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,hatespeech,[-1.3800179   0.714347   -0.05683455]
1179050544075137026_twitter,<user> text me faggot,normal,[-1.1736037   0.5810775  -0.11955637]
13265405_gab,i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,hatespeech,[ 1.8294909 -1.7068119 -0.4137153]
11778438_gab,a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,hatespeech,[ 1.2979182  -1.0523512  -0.45272136]
1179082883333378048_twitter,what in the hillbilly did i just hear <user>,normal,[-1.0370603   0.06714995  0.31143314]
1179073367057547269_twitter,<user> dis nigga called us coons and niggers with a er am i missing something lmao,normal,[ 0.16082367 -0.5100677  -0.15753983]
1178888096839950336_twitter,rae accent is fuckin magical she my lil hillbilly country babe <number>,normal,[-1.1686779   0.4006014  -0.07074314]
1178670866768502785_twitter,<user> <user> <user> <user> naam tak rocky handsome se copy kiya hai itna bhi nahin janta ki tere baap dada bhi hindu the and turk came and raped and some turned muslim and idiots like you think you ruled us for <number> years ja pehle history pad phir baat karna,normal,[-2.1871233   1.3741212  -0.20981391]
24569252_gab,it was another muzrat terrorist attack do not believe the could not get laid excuse,hatespeech,[-0.50796485 -0.05322315  0.2934833 ]
9597450_gab,<user> seems like the liberals an moslem nations do not like prezz trumps r americas agenda at the g20 well then we need <number> walk out of the g20 an tell them lets see how long u last without americas help,normal,[-0.7015506   0.7278228  -0.14023946]
1179004403673714689_twitter,<user> <user> <user> instead break pakistan no illegal pak muslim immigrants allowed in india i mean the word illegal,normal,[-2.2515123   1.3652648  -0.18929578]
1178789722354794496_twitter,so me being african doesnt give me the pass to understand more ca do researches and know whats appropriate and whats not 🤡 some white people are so funny,normal,[-1.3839405   0.8992576  -0.41138878]
20318223_gab,the heeb fears the muramasa,normal,[-0.29299155 -0.04511376  0.09356875]
1171798188132589568_twitter,how can you get rid of one nigger and replace it with another nigger x and y was much better no nigero in sight,hatespeech,[ 1.2916926  -1.0457255  -0.41059616]
11578894_gab,a profile of a mudshark,hatespeech,[-0.29455668 -0.04882243  0.18742798]
21869208_gab,chopra is a curry nigger who utters meaningless new age platitudes like only you can poison your soul,hatespeech,[ 1.3710132  -1.1134467  -0.40858704]
21214738_gab,i probably ended up another kike list somewhere lolz yeah no doubt plus jews like to keep tabs on us nazis idk why it not as though we are coming for them to put them in the ovens yet,hatespeech,[ 1.9496698  -1.772275   -0.51111597]
1178851092647546881_twitter,<user> <user> dawg at my last job all them white boys was married or was before n i always heard my fuckin whore ass wife dude,normal,[-1.9066837   1.3332489  -0.27719975]
22405642_gab,but if you are a nigger you can beat rape your way all down white street while screaming i hate white people never be charged with a hate crime,hatespeech,[ 1.4166555  -1.1561129  -0.40441346]
1178130764405366784_twitter,<user> nigga fucking called me a faggot when i said these things to him,normal,[-1.2915986   0.4510544   0.10066751]
1178965584488230913_twitter,<user> he is infected with jihadi virus he will spread it to others,hatespeech,[-1.0854856   0.42900592  0.0555707 ]
1122981615016271872_twitter,bonus points if she says people are gay fanny and she replies with happy,normal,[-0.8838644   0.11088987  0.10778877]
8525782_gab,two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing,hatespeech,[-0.02201008 -0.8562144   0.65483224]
21419884_gab,says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor,hatespeech,[ 1.9050605 -1.7353497 -0.5466375]
1179105444096348165_twitter,do not call me a nigger i am white,hatespeech,[ 0.36690795 -0.30342877 -0.3214683 ]
1178276990559801344_twitter,edgy gg stans think being racist is ok i hate faggots,hatespeech,[-0.03656963 -0.440055    0.37563884]
23170995_gab,rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction,hatespeech,[ 1.0204144 -0.8699662 -0.3103903]
6350512_gab,we are lucky his son died before he got sudden jihad syndrome the ft hood shooter killed more us soldiers than moslem soldiers have died fighting for the us in the past <number> years that is easily checked,normal,[ 0.5928693  -0.8033993   0.02259403]
1179066279648468999_twitter,i am so pretty men and women love me,normal,[-1.3541412   0.62646675 -0.3771508 ]
1179093621531906048_twitter,i am a pumpkin bread slut,normal,[-0.5816214   0.16713162 -0.04870598]
26939158_gab,build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,offensive,[ 0.04179147 -0.22744612  0.23844263]
16288097_gab,fuck off you nigger loving whore your mom need a slap upside the head for boring such a chicken shit pansy,hatespeech,[ 1.7773268 -1.5364366 -0.5216197]
1179104631248412672_twitter,doctors are always giving women incorrect information on hormonal birth control or leaving out important information and it not okay,normal,[ 0.16163456 -0.39747077  0.24549063]
